annual_revenue_range,business_type,city,country,directors,email,employee_count_range,industry,is_verified,last_updated,name,phone,region,registered_address,registration_date,registration_number,status,sub_industry,verification_score,website
$250K-$500K,Sole Proprietor,Princes Town,Trinidad and Tobago,"[{""name"": ""Director 38"", ""position"": ""Director""}]",info@company38.com,250-500,Finance,False,2024-01-15,Finance Company 38 Ltd,+1-868-602-9936,Princes Town,422 Independence Square,2023-10-01,TRN20230038,Dissolved,Finance Services,60,https://company38.com
$50K-$100K,Sole Proprietor,San Fernando,Trinidad and Tobago,"[{""name"": ""Director 39"", ""position"": ""Owner""}]",info@company39.com,250-500,Energy,False,2024-01-15,Energy Company 39 Ltd,+1-868-657-3968,San Fernando,376 Ariapita Avenue,2023-05-05,TRN20230039,Active,Energy Services,70,https://company39.com
$250K-$500K,Limited Liability,San Fernando,Trinidad and Tobago,"[{""name"": ""Director 40"", ""position"": ""Managing Director""}]",info@company40.com,50-100,Technology,False,2024-01-15,Technology Company 40 Ltd,+1-868-652-6878,San Fernando,14 Independence Square,2023-11-14,TRN20230040,Active,Technology Services,53,https://company40.com
$500K-$1M,Partnership,Chaguanas,Trinidad and Tobago,"[{""name"": ""Director 41"", ""position"": ""Managing Director""}]",info@company41.com,1-10,Manufacturing,True,2024-01-15,Manufacturing Company 41 Ltd,+1-868-686-5344,Chaguanas,850 Wrightson Road,2023-04-12,TRN20230041,Active,Manufacturing Services,50,https://company41.com
$500K-$1M,Partnership,Diego Martin,Trinidad and Tobago,"[{""name"": ""Director 42"", ""position"": ""CEO""}]",info@company42.com,25-50,Retail,True,2024-01-15,Retail Company 42 Ltd,+1-868-633-3997,Diego Martin,981 Wrightson Road,2023-12-06,TRN20230042,Dissolved,Retail Services,74,https://company42.com
$50K-$100K,Partnership,Port of Spain,Trinidad and Tobago,"[{""name"": ""Director 43"", ""position"": ""Owner""}]",info@company43.com,100-250,Tourism,False,2024-01-15,Tourism Company 43 Ltd,+1-868-671-9862,Port of Spain,500 Main Road,2023-03-10,TRN20230043,Active,Tourism Services,66,https://company43.com
$250K-$500K,Corporation,Princes Town,Trinidad and Tobago,"[{""name"": ""Director 44"", ""position"": ""Director""}]",info@company44.com,50-100,Energy,True,2024-01-15,Energy Company 44 Ltd,+1-868-681-8782,Princes Town,995 Main Road,2023-01-18,TRN20230044,Dissolved,Energy Services,96,https://company44.com
$250K-$500K,Sole Proprietor,Point Fortin,Trinidad and Tobago,"[{""name"": ""Director 45"", ""position"": ""Owner""}]",info@company45.com,100-250,Retail,True,2024-01-15,Retail Company 45 Ltd,+1-868-628-8253,Point Fortin,724 Independence Square,2023-04-17,TRN20230045,Active,Retail Services,66,https://company45.com
$10M-$50M,Limited Liability,Port of Spain,Trinidad and Tobago,"[{""name"": ""Director 46"", ""position"": ""Owner""}]",info@company46.com,250-500,Construction,False,2024-01-15,Construction Company 46 Ltd,+1-868-656-9077,Port of Spain,695 Independence Square,2023-06-11,TRN20230046,Active,Construction Services,66,https://company46.com
$5M-$10M,Partnership,Scarborough,Trinidad and Tobago,"[{""name"": ""Director 47"", ""position"": ""Owner""}]",info@company47.com,100-250,Manufacturing,True,2024-01-15,Manufacturing Company 47 Ltd,+1-868-661-5225,Scarborough,674 Ariapita Avenue,2023-11-18,TRN20230047,Dissolved,Manufacturing Services,96,https://company47.com
$50K-$100K,Sole Proprietor,Port of Spain,Trinidad and Tobago,"[{""name"": ""Director 48"", ""position"": ""CEO""}]",info@company48.com,250-500,Healthcare,False,2024-01-15,Healthcare Company 48 Ltd,+1-868-692-6792,Port of Spain,42 Independence Square,2023-12-05,TRN20230048,Dissolved,Healthcare Services,62,https://company48.com
$500K-$1M,Corporation,Arima,Trinidad and Tobago,"[{""name"": ""Director 49"", ""position"": ""CEO""}]",info@company49.com,100-250,Finance,True,2024-01-15,Finance Company 49 Ltd,+1-868-682-9654,Arima,382 Main Road,2023-07-21,TRN20230049,Active,Finance Services,63,https://company49.com
$100K-$250K,Sole Proprietor,Diego Martin,Trinidad and Tobago,"[{""name"": ""Director 50"", ""position"": ""Director""}]",info@company50.com,1-10,Retail,False,2024-01-15,Retail Company 50 Ltd,+1-868-682-3025,Diego Martin,898 Independence Square,2023-02-20,TRN20230050,Dissolved,Retail Services,92,https://company50.com
